trip_date,day_count
2018-10-01,1508
2018-10-02,1702
2018-10-03,1717
2018-10-04,1597
2018-10-05,1594
2018-10-06,916
2018-10-07,1124
2018-10-08,1302
2018-10-09,1755
2018-10-10,1697
2018-10-11,1141
2018-10-12,1385
2018-10-13,942
2018-10-14,924
2018-10-15,1289
2018-10-16,1519
2018-10-17,1452
2018-10-18,1299
2018-10-19,1381
2018-10-20,951
2018-10-21,676
2018-10-22,1237
2018-10-23,1514
2018-10-24,1407
2018-10-25,1242
2018-10-26,1242
2018-10-27,206
2018-10-28,647
2018-10-29,1184
2018-10-30,1272
2018-10-31,1316
